theta_dc,epsilon_ac,mass_target,mass_drift_rel,pmean_rel_wet,Y_re,Y_im,d_op_pct,phase_deg,qs0_pct,qs1_pct,qs1_phase_deg,qs1k_pct,r_dyn_pp,phase_resid_deg,cr_lower,h2_q_rel,u_d_pp,u_qs_pp,g0_scope,status
0.0,0.005,48.00000000036083,4.348743587456738e-13,4.50195436485501e-13,0.0005416721634437031,0.0008879981376773823,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001232859377237808,nan,nan,G0_FENCE_PENDING_USER,cold_anchor;legal
0.02,0.005,47.52630685942357,1.1659562204613394e-12,1.5365938439426685e-06,0.0005423188221297351,0.0008747175974379017,-1.0469368002098078,-0.41499380852227963,0.04873488269090398,0.0601819075718657,-0.029891851679365016,2.4154242240120194,-1.1071187077816735,-0.3851019568429024,0.4603107876626745,0.001196048614370494,0.008069545655997601,2.659057507514717e-06,G0_FENCE_PENDING_USER,linearity_audit;legal
0.02,0.02,47.52630685942357,1.1171064073778325e-12,1.5365938439426685e-06,0.0005423515242791397,0.0008747960824377873,-1.0469368002098078,-0.41499380852227963,0.04873488269090398,0.0601819075718657,-0.029891851679365016,2.4154242240120194,-1.1071187077816735,-0.3851019568429024,0.4603107876626745,0.005004767811530326,0.008069545655997601,2.659057507514717e-06,G0_FENCE_PENDING_USER,judgement_pair;legal
0.05,0.005,46.838565673290596,2.452482661396971e-13,1.0959031705670697e-05,0.0005431631936429775,0.0008561032162493607,-2.520783451725672,-1.0097338990902833,0.11835181850272658,0.1578348241831895,-0.07315733704853176,6.107173489052897,-2.6786182759088617,-0.9365765620417505,0.475678766912509,0.001144114620917045,0.007147372081839354,6.572366584300937e-06,G0_FENCE_PENDING_USER,linearity_audit;legal
0.05,0.02,46.838565673290596,2.3014923300479495e-13,1.0959031705670697e-05,0.0005431898644534334,0.0008561743400964178,-2.520783451725672,-1.0097338990902833,0.11835181850272658,0.1578348241831895,-0.07315733704853176,6.107173489052897,-2.6786182759088617,-0.9365765620417505,0.475678766912509,0.004810808959887116,0.007147372081839354,6.572366584300937e-06,G0_FENCE_PENDING_USER,judgement_pair;legal
0.075,0.005,46.28524094605422,3.0686564400639327e-13,2.6652243594771363e-05,0.0005437213867686207,0.0008416441309468682,-3.6632466538813913,-1.4795591404220543,0.1731788930694922,0.24397165145961797,-0.1081418404194678,9.254853515128758,-3.9072183053410092,-1.3714173000025767,0.48193304760658395,0.0011036798966941965,0.006456612927818739,9.834569469902021e-06,G0_FENCE_PENDING_USER,linearity_audit;legal
0.075,0.02,46.28524094605422,3.461675390781238e-13,2.6652243594771363e-05,0.0005437438608806432,0.0008417095670803537,-3.6632466538813913,-1.4795591404220543,0.1731788930694922,0.24397165145961797,-0.1081418404194678,9.254853515128758,-3.9072183053410092,-1.3714173000025767,0.48193304760658395,0.004657936255203748,0.006456612927818739,9.834569469902021e-06,G0_FENCE_PENDING_USER,judgement_pair;legal
0.1,0.005,45.748916437200414,7.09432512735475e-13,5.020206138017791e-05,0.0005441297047115159,0.0008280237201942787,-4.739558555964485,-1.9267511655654481,0.22513517417994677,0.332934644821381,-0.1424382353027369,12.472193315975687,-5.072493200785866,-1.7843129302627005,0.48681710614618634,0.0010656891558590011,0.005830524813787541,1.3136933207924528e-05,G0_FENCE_PENDING_USER,linearity_audit;legal
0.1,0.02,45.748916437200414,7.16093850883226e-13,5.020206138017791e-05,0.0005441486224733877,0.000828083858466492,-4.739558555964485,-1.9267511655654481,0.22513517417994677,0.332934644821381,-0.1424382353027369,12.472193315975687,-5.072493200785866,-1.7843129302627005,0.48681710614618634,0.004512543169051449,0.005830524813787541,1.3136933207924528e-05,G0_FENCE_PENDING_USER,judgement_pair;legal
