N,steps,q_rel_err_vs_nominal,wallpos_hot_rel,wallpos_cold_rel,profile_err_rel,column_replication_rel
16,24500,0.8845471391328921,0.05435654528973806,0.05461807444320819,0.058545915864023516,0.0
32,98000,0.22085229782984728,0.017463819302843374,0.017518829387985182,0.05893736552683993,0.0
64,390500,0.31392836916639966,0.009260421527022776,0.009282862309004417,0.10438980697376521,0.0
