base_state,h,odd_norm,even_norm,dq_hot_odd,chain_vs_direct_rel,odd_pairwise_rel_vs_prev,even_ratio_vs_prev,even_judged,layer_pass
cold,0.0001,0.2827059052964635,1.3905777252653255e-10,0.0007481577698288615,5.172887165577498e-11,,,True,True
cold,5e-05,0.282705905296205,3.476447532114698e-11,0.0007481577697296231,1.075054543677017e-10,1.2016705865895175e-10,3.9999962962750284,True,True
cold,2.5e-05,0.2827059052962893,8.691090017545065e-12,0.0007481577696272831,2.066393173051112e-10,2.3195674397841333e-10,4.0000132608184344,True,True
hot,0.0001,0.29419816088456646,1.5044165622033793e-10,0.0007881429424150727,5.229743540346321e-11,,,True,True
hot,5e-05,0.29419816088388184,3.76105285747201e-11,0.0007881429424770755,1.0479689597475153e-10,1.130107928193782e-10,3.999987820470495,True,True
hot,2.5e-05,0.29419816088348766,9.402730312761547e-12,0.0007881429422568469,2.077859516125078e-10,2.3325354956309555e-10,3.9999582380528818,True,True
