branch,theta_dc,stationarity_per_period,dc_closure_rel,column_replication_rel,ensemble_pass,row_pass
CONST_G,0.0,6.153117482401388e-14,0.007067778849286054,0.0,True,True
CONST_G,0.05,1.4528152298138163e-06,5.4292555619376396e-05,0.0,False,False
CONST_G,0.1,2.998772003586345e-06,5.464600667108762e-05,0.0,False,False
G0,0.0,6.153117482401388e-14,0.007067778849286054,0.0,True,True
G0,0.05,1.4938075569411945e-06,5.575576531424381e-05,0.0,False,False
G0,0.1,3.082482234808992e-06,5.603422694019352e-05,0.0,False,False
