branch,theta_dc,Y_hot_re,Y_hot_im,Y_cold_re,Y_cold_im,d_op_pct,phase_deg,move_frac_m,tan_ref_pct,nsf_ref_pct,status
PROD,0.05,0.000508060374625138,0.0009204586504089178,0.0004998499198013624,0.0009596625379939636,-2.834524313878617,-1.383923969840351,,-2.8345129628396526,1.1816679235497007,anchor_reverified
PROD,0.1,0.0005143258516324251,0.0008860451594885291,0.0004998499198013624,0.0009596625379939636,-5.317082959761644,-2.620826387221709,,-5.317059432017945,2.344498614853485,anchor_reverified
STRICT_B_CONST_G,0.05,0.0005587525001409037,0.0008711561937664838,0.0005416672987108744,0.0008879929733932415,-0.5011709723376168,-1.2929870941018295,0.5809864676784279,-2.8345129628396526,1.1816679235497007,PARTIAL_CONTROL_ARCHIVED_ONLY
STRICT_B_CONST_G,0.1,0.0005745014666521459,0.0008570644200125822,0.0005416672987108744,0.0008879929733932415,-0.8038160485282053,-2.4516674966979815,0.5890777076872875,-5.317059432017945,2.344498614853485,PARTIAL_CONTROL_ARCHIVED_ONLY
STRICT_B_G0,0.05,0.0005574265026531555,0.0008755581386440202,0.0005416672975151173,0.0008879929717827191,-0.2132076984426745,-1.1001860698959909,0.6526870379876155,-2.8345129628396526,1.1816679235497007,archived_admission_not_passed
STRICT_B_G0,0.1,0.0005722866055973533,0.0008655005551315802,0.0005416672975151173,0.0008879929717827191,-0.24670587525119636,-2.090694716929945,0.6617924817651181,-5.317059432017945,2.344498614853485,archived_admission_not_passed
