case,N,branch,theta_hot_rel,theta_cold_rel,converged,steps,q_dc_per_col_lu,q_ref_continuum_lu,q_rel_err,face_consistency_rel,k_eff_bulk_over_nominal,wallpos_hot_rel,wallpos_cold_rel,profile_err_rel
adm_eps_N32_c1.1_e2.5e-05_p,32,G0,1.10001375,1.0999862500000002,True,98000,1.2913669632897876e-09,1.0258735064666887e-09,0.2587974590917266,0.01940603659724016,1.1973163348163909,0.01795182613709283,0.01795236817993292,0.05548331438187961
adm_eps_N32_c1.1_e5e-05_m,32,G0,1.0999725,1.1000275,True,98000,-2.5827563319448103e-09,-2.051747012947233e-09,0.2588083792235225,0.019404585536473618,1.1973209445426567,0.017952806139986222,0.0179517182625566,0.05548495199503136
adm_eps_N32_c1.1_e5e-05_p,32,G0,1.1000275,1.0999725,True,98000,2.5827411537963984e-09,2.051747012947233e-09,0.258800981552993,0.01940652047648128,1.1973219719517483,0.017951607602930728,0.01795269566029894,0.05548506188013895
adm_eps_N32_c1_e0.0001_m,32,G0,0.99995,1.00005,True,98000,-3.9360275817440595e-09,-3.3784129082386658e-09,0.165052256385116,0.01757444530730934,0.9937993541617587,0.016663384813559168,0.01666138359170129,0.06022506710102471
adm_eps_N32_c1_e0.0001_p,32,G0,1.00005,0.99995,True,98000,3.936012126952949e-09,3.3784129082386658e-09,0.16504768181370344,0.01757797285701157,0.993810947454923,0.016661315362377596,0.016663317203850104,0.06022513528014814
adm_eps_N32_c1_e2.5e-05_m,32,G0,0.9999875,1.0000125,True,98000,-9.840126529510723e-10,-8.446032270466769e-10,0.1650590732311883,0.017575758358115312,0.993811228402467,0.016662737740800192,0.016662233695774988,0.06021961860146527
adm_eps_N32_c1_e2.5e-05_p,32,G0,1.0000125,0.9999875,True,98000,9.839973084466137e-10,8.446032270466769e-10,0.16504090552359818,0.01757666858876028,0.9937990958983148,0.01666196241931155,0.016662464542383976,0.060219895947857184
adm_eps_N32_c1_e5e-05_m,32,G0,0.999975,1.000025,True,98000,-1.9680176447199792e-09,-1.6892064540968176e-09,0.16505453785531254,0.01757532798822914,0.9938052797474218,0.016662919107212945,0.016661916237989488,0.06022147221608809
adm_eps_N32_c1_e5e-05_p,32,G0,1.000025,0.999975,True,98000,1.9680022858512784e-09,1.6892064540968176e-09,0.16504544549797306,0.017577092820734053,0.9938050395098762,0.016661781600894366,0.016662781099528994,0.06022161475326972
adm_eps_N64_c1.05_e0.0001_m,64,G0,1.0499475,1.0500525,True,390500,-2.4535035129731592e-09,-1.865988239318654e-09,0.31485475699944954,0.018472490023233368,1.3819177327537666,0.00927422376012145,0.00927310448284882,0.08709535664282017
adm_eps_N64_c1.05_e0.0001_p,64,G0,1.0500525,1.0499475,True,390500,2.453487625593527e-09,1.865988239318654e-09,0.31484624280879303,0.018476215033155663,1.3819753567585007,0.009273042059680277,0.0092741614421344,0.08709534655222657
adm_eps_N64_c1.05_e2.5e-05_m,64,G0,1.049986875,1.050013125,True,390500,-6.133817073993685e-10,-4.664970598214369e-10,0.3148672526128147,0.018473885587199534,1.3819564237301805,0.009273898671438957,0.009273615801515934,0.08709300164279751
adm_eps_N64_c1.05_e2.5e-05_p,64,G0,1.050013125,1.049986875,True,390500,6.133661670577474e-10,4.664970598214369e-10,0.3148339397734432,0.018474814638729797,1.3819367756254597,0.009273368267111401,0.009273646552760416,0.08709298642016654
adm_eps_N64_c1.05_e5e-05_m,64,G0,1.04997375,1.05002625,True,390500,-1.2267554140462264e-09,-9.329941196463375e-10,0.3148586772564468,0.01847338730923742,1.3819388477769876,0.009273974404847651,0.009273416609619493,0.08709382797594545
adm_eps_N64_c1.05_e5e-05_p,64,G0,1.05002625,1.04997375,True,390500,1.2267402546507747e-09,9.329941196463375e-10,0.31484242914176686,0.018475278463195077,1.381954415570045,0.009273292659374105,0.009273849124124645,0.08709381496622386
adm_eps_N64_c1.1_e0.0001_m,64,G0,1.0999450000000002,1.1000550000000002,True,390500,-2.798833652197317e-09,-2.051747012976676e-09,0.36412220146808827,0.019391832435354472,1.4904699656000429,0.009642770350300462,0.009641607089032288,0.06824829911200626
adm_eps_N64_c1.1_e0.0001_p,64,G0,1.1000550000000002,1.0999450000000002,True,390500,2.798818519697086e-09,2.051747012976676e-09,0.36411482604600387,0.019395748146700753,1.4905243123897567,0.009641550864742006,0.009642713879572544,0.06824828522935276
adm_eps_N64_c1.1_e2.5e-05_m,64,G0,1.0999862500000002,1.10001375,True,390500,-6.997140874513661e-10,-5.129367532333444e-10,0.3641332640733064,0.01939328280380259,1.4905060669544283,0.009642417074815543,0.009642128896641983,0.06824522019216397
adm_eps_N64_c1.1_e2.5e-05_p,64,G0,1.10001375,1.0999862500000002,True,390500,6.996988951774151e-10,5.129367532333444e-10,0.36410364585262855,0.019394287058159154,1.490488058345484,0.009641903243217209,0.009642192709646771,0.06824518670272355
adm_eps_N64_c1.1_e5e-05_m,64,G0,1.0999725,1.1000275,True,390500,-1.3994207268083838e-09,-1.0258735064736166e-09,0.3641260038177758,0.019392798939476097,1.4904899938956195,0.009642508055914671,0.009641927211533993,0.06824622730567398
adm_eps_N64_c1.1_e5e-05_p,64,G0,1.1000275,1.0999725,True,390500,1.3994052897526336e-09,1.0258735064736166e-09,0.3641109560992679,0.01939477681340318,1.4905042653064389,0.009641812796667953,0.009642394626799175,0.06824618035213285
adm_eps_N64_c1_e0.0001_m,64,G0,0.99995,1.00005,True,390500,-2.09588685090622e-09,-1.6892064541193329e-09,0.24075233420707587,0.017551267657771374,1.259282705942227,0.008701328197274245,0.00870027845678594,0.11672512934995495
adm_eps_N64_c1_e0.0001_p,64,G0,1.00005,0.99995,True,390500,2.0958715887005518e-09,1.6892064541193329e-09,0.24074329907366687,0.017554831761177003,1.2593437518577972,0.008700209143136649,0.008701260181660229,0.1167251270249658
adm_eps_N64_c1_e2.5e-05_m,64,G0,0.9999875,1.0000125,True,390500,-5.23977711935933e-10,-4.2230161352333846e-10,0.2407665402087682,0.017552587178633172,1.259323714851956,0.008701041304214844,0.008700773607747032,0.11672356710911608
adm_eps_N64_c1_e2.5e-05_p,64,G0,1.0000125,0.9999875,True,390500,5.239618621407041e-10,4.2230161352333846e-10,0.24072900827727328,0.01755347435214072,1.259302657372724,0.008700495664689174,0.00870076487577052,0.11672355048279025
adm_eps_N64_c1_e5e-05_m,64,G0,0.999975,1.000025,True,390500,-1.047947497467336e-09,-8.446032270484088e-10,0.24075715543918053,0.017552144439868966,1.2593054051672399,0.008701101937547135,0.008700574814745636,0.11672415367222787
adm_eps_N64_c1_e5e-05_p,64,G0,1.000025,0.999975,True,390500,1.0479319718166344e-09,8.446032270484088e-10,0.24073877325663084,0.017553943938035443,1.259321322332421,0.00870043765616321,0.008700960562142937,0.11672416710008006
adm_ramp_N16_th0.05_neg,16,G0,0.95,1.0,True,24500,-6.021559661583045e-06,-3.2906334485533837e-06,0.8299089691166366,0.01629805544260765,1.513666960235203,0.054607610548274635,0.05128154510988266,0.06452925800226825
adm_ramp_N16_th0.05_pos,16,G0,1.05,1.0,True,24500,6.3858448452193306e-06,3.4663095136787036e-06,0.8422604271256204,0.018910946937478967,1.5761778700003415,0.05159664610888035,0.05478215233835504,0.06308414979351275
adm_ramp_N16_th0.1_neg,16,G0,0.9,1.0,True,24500,-1.165971452539191e-05,-6.40595105431142e-06,0.820137935263263,0.015047111186142104,1.4819762531909613,0.05623575150694227,0.049430476415721604,0.07311301342734429
adm_ramp_N16_th0.1_pos,16,G0,1.1,1.0,True,24500,1.3119472282805355e-05,7.108638408856224e-06,0.8455675374429787,0.020270570935759902,1.6071286543667305,0.050204239548891035,0.05644615032496741,0.06920935326552488
adm_ramp_N32_th0.05_neg,32,G0,0.95,1.0,True,98000,-1.8684762267160625e-06,-1.6453167242766918e-06,0.13563315752319682,0.01625381309005347,0.9370427725809362,0.01676056789041506,0.015761636748757003,0.06542624801661596
adm_ramp_N32_th0.05_pos,32,G0,1.05,1.0,True,98000,2.0643073784898546e-06,1.7331547568393518e-06,0.1910692743067015,0.018930983567169157,1.049028126389405,0.016536335764081884,0.017536176527792647,0.062499905508411974
adm_ramp_N32_th0.1_neg,32,G0,0.9,1.0,True,98000,-3.5307362198148327e-06,-3.20297552715571e-06,0.10233006461656569,0.014964744603764624,0.8786098016743977,0.016822552048878486,0.014831478588523517,0.07158545551481423
adm_ramp_N32_th0.1_pos,32,G0,1.1,1.0,True,98000,4.315318036017228e-06,3.554319204428112e-06,0.2141053709078895,0.020317233688649017,1.1028277430361553,0.016388988536378612,0.01838533313432499,0.06502484953624438
adm_ramp_N64_th0.05_neg,64,G0,0.95,1.0,True,390500,-9.759661543411655e-07,-8.226583621383459e-07,0.1863565718876603,0.01621278580022878,1.1694901264991089,0.008535443370385238,0.008020908156009303,0.1398660616911143
adm_ramp_N64_th0.05_pos,64,G0,1.05,1.0,True,390500,1.1103403562851683e-06,8.665773784196759e-07,0.2812939547418467,0.01891552780251926,1.339534387902533,0.008757238057597106,0.009287867569617757,0.10155900210037162
adm_ramp_N64_th0.1_neg,64,G0,0.9,1.0,True,390500,-1.7787305209584482e-06,-1.601487763577855e-06,0.1106738130703031,0.01489213816437529,1.0658100445823335,0.008187983420249248,0.007198537151225871,0.17191204391084472
adm_ramp_N64_th0.1_pos,64,G0,1.1,1.0,True,390500,2.332324259770456e-06,1.777159602214056e-06,0.3123887448627316,0.020301552169774806,1.4126862493941885,0.008746508994617846,0.009811538164235474,0.09086434126590225
