N,theta_dc,Y_lbm_re,Y_lbm_im,Y_ref_re,Y_ref_im,amp_rel,phase_deg,passed_10pct_5deg
16,0.0,0.0007753464151948371,0.0005598148400275608,0.0005038587264238319,0.0004793827048696773,0.3750711067943986,-7.744019678927462,False
16,0.05,0.0008143712904081693,0.000544381433950114,0.0005224656279115064,0.0004811616656794996,0.37914287835881244,-8.881866009551892,False
16,0.1,0.0008520109128606917,0.000530154140558074,0.0005410794962943526,0.0004825934286514762,0.38406928915725747,-9.838572312415911,False
32,0.0,0.0005375994128720509,0.0009126939871476927,0.0005485333375740282,0.0006179752451359173,0.2819168670056913,11.094078891369819,False
32,0.05,0.0005470063686756127,0.0008958357900791542,0.0005593700816380675,0.0006258569257544913,0.25046150083584684,10.380624091107153,False
32,0.1,0.0005564738960841413,0.0008801316317980154,0.0005698948432755001,0.0006335270527212146,0.22198119742090916,9.669626319061846,False
64,0.0,0.00050219955165857,0.0008870253933180456,0.0005911990629004505,0.0006232684499604586,0.1865590681607241,13.970526655583525,False
64,0.05,0.000524974093459066,0.0008707052114069818,0.0006010648370807683,0.000631714757157364,0.16599841693753437,12.488753947457345,False
64,0.1,0.0005460016119846018,0.0008583157300577242,0.0006107471328491385,0.0006400391361538529,0.14986275191970777,11.196721079974605,False
