variant,theta_dc,h,Y_re,Y_im,Y_abs,Y_phase_deg
A0,0.05,0.0001,0.0005080603846242407,0.0009204586507034699,0.0010513655320959425,61.10286684952052
A0,0.05,5e-05,0.000508060374625138,0.0009204586504089178,0.001051365527006113,61.10286731883174
A0,0.05,2.5e-05,0.0005080603942504428,0.0009204586436132232,0.0010513655305402637,61.10286620352338
A0,0.1,0.0001,0.0005143258648221532,0.0008860451611773559,0.0010245033542506644,59.86596431091442
A0,0.1,5e-05,0.0005143258516324251,0.0008860451594885291,0.0010245033461685092,59.86596490145039
A0,0.1,2.5e-05,0.0005143258462838495,0.0008860451560333366,0.001024503340495158,59.865965063138724
A2+A3,0.05,0.0001,0.0004998689424889954,0.0009597258794770867,0.0010821010689409441,62.48744729526809
A2+A3,0.05,5e-05,0.0004998689376139887,0.0009597258770250598,0.0010821010645142431,62.48744746422688
A2+A3,0.05,2.5e-05,0.0004998689370199086,0.0009597258700333065,0.0010821010580387585,62.48744732111222
A2+A3,0.1,0.0001,0.0004999073283015488,0.000959871563989747,0.0010822480105067023,62.4892077670454
A2+A3,0.1,5e-05,0.0004999073214527645,0.0009598715619917245,0.0010822480055710478,62.489208039769686
A2+A3,0.1,2.5e-05,0.000499907322519872,0.0009598715683052546,0.0010822480116635818,62.489208144057756
A2,0.05,0.0001,0.0005497716186646946,0.0010064546656092701,0.001146821619353187,61.354612493934304
A2,0.05,5e-05,0.0005497716118595625,0.0010064546616562165,0.00114682161262168,61.35461269763148
A2,0.05,2.5e-05,0.0005497716050641984,0.0010064546579975648,0.0011468216061532239,61.35461290795141
A2,0.1,0.0001,0.0005987467235543072,0.0010545345435714313,0.001212658543264519,60.4128288271996
A2,0.1,5e-05,0.0005987467172532163,0.0010545345435091543,0.0012126585400992166,60.41282908464084
A2,0.1,2.5e-05,0.0005987467309229647,0.001054534556227696,0.00121265855790873,60.41282881969518
A3,0.05,0.0001,0.00046137712131719843,0.0008776253932633008,0.0009915115627038892,62.268611690869434
A3,0.05,5e-05,0.000461377117696086,0.0008776253948162644,0.000991511562393476,62.26861191784379
A3,0.05,2.5e-05,0.0004613771213924402,0.0008776253809618676,0.0009915115518504248,62.268611356241216
A3,0.1,0.0001,0.00042740972682911145,0.0008061368821936621,0.0009124339688005122,62.06768943451736
A3,0.1,5e-05,0.0004274097249410259,0.0008061368809617556,0.0009124339668276885,62.0676895030303
A3,0.1,2.5e-05,0.00042740972046620787,0.0008061368893589748,0.0009124339721505145,62.06768999829019
A4,0.05,0.0001,0.0005080604088047654,0.0009204584404466396,0.0010513653597034312,61.102860158762375
A4,0.05,5e-05,0.0005080604103620394,0.0009204584422155921,0.0010513653620046642,61.10286013104818
A4,0.05,2.5e-05,0.0005080604045745204,0.0009204584477598175,0.0010513653640618174,61.1028605531834
A4,0.1,0.0001,0.0005143260565214844,0.0008860445272041042,0.0010245029021946621,59.86593723953423
A4,0.1,5e-05,0.0005143260472371404,0.0008860445264660548,0.0010245028968953853,59.86593766787139
A4,0.1,2.5e-05,0.0005143260672379828,0.0008860445292774861,0.0010245029093677832,59.86593677941841
A5,0.05,0.0001,0.0005080431776648216,0.0009203987859473345,0.0010513048062027951,61.102111240781966
A5,0.05,5e-05,0.0005080431767859987,0.000920398778719254,0.001051304799450047,61.10211109234788
A5,0.05,2.5e-05,0.0005080431799564458,0.0009203987848179302,0.0010513048063214494,61.10211110169543
A5,0.1,0.0001,0.0005142793162872122,0.0008858568829747717,0.0010243171541444674,59.862929099012504
A5,0.1,5e-05,0.0005142793105914342,0.0008858568832990894,0.0010243171515652647,59.862929383651455
A5,0.1,2.5e-05,0.0005142793363275896,0.0008858568828683679,0.0010243171641141269,59.86292812657926
A6,0.05,0.0001,0.000508060381967775,0.0009204586535068102,0.0010513655332665282,61.1028670500889
A6,0.05,5e-05,0.0005080603859897519,0.0009204586503412512,0.0010513655324386915,61.102866774831504
A6,0.05,2.5e-05,0.0005080603748434693,0.000920458661195347,0.0010513655365550162,61.10286759247368
A6,0.1,0.0001,0.0005143258616611594,0.0008860451582730278,0.00102450335015195,59.86596438226139
A6,0.1,5e-05,0.0005143258603869762,0.000886045159963685,0.0010245033509744493,59.86596449135695
A6,0.1,2.5e-05,0.0005143258720448249,0.0008860451596026776,0.0010245033565147573,59.865963917362826
cold_anchor,0.0,0.0001,0.0004998499286385207,0.0009596625480718855,0.0010820361164636594,62.4867911201695
cold_anchor,0.0,5e-05,0.0004998499198013624,0.0009596625379939636,0.001082036103443154,62.486791288672094
cold_anchor,0.0,2.5e-05,0.0004998499275726993,0.0009596625398160642,0.001082036108649176,62.48679096827612
