tag,T_K,background_path,direction,k_label,layer,ny,mode,k_lu,theta_b_lu,rho_b_lu,alpha_eff_lu,alpha_eff_m2_s,nu_eff_lu,nu_eff_m2_s,heat_flux_ratio_vs_ref_fourier,c_eff_lu,c_eff_m_s,gamma_eff,steps,fit_start,thermal_finite,shear_finite,acoustic_finite,mu_eff_Pa_s,k_eff_W_mK
,300.0,isobaric,y,k2,production,45,1,0.13962634015954636,0.04837849258185211,1.0,0.0030626733131120555,1.0665262979259312e-05,0.004865236927734498,1.694239835131693e-05,1.6862907466318373,0.26468070661909526,352.9080592361801,1.4480789441269848,4000,500,True,True,True,1.994120285950003e-05,0.01261577959922115
,300.0,isobaric,y,k3,production,37,1,0.16981581911296179,0.04837849258185211,1.0,0.004906427081381493,1.708583637943457e-05,0.0067594060923742115,2.3538535190854325e-05,1.5710093702854813,nan,nan,nan,4000,500,True,True,,2.7704855919635543e-05,0.020210579565687458
,330.0,isobaric,y,klow256,low,256,1,0.02454369260617026,0.05321634184003732,0.9090909090909092,0.010980186255274664,3.823671740384155e-05,0.0013734356007762683,4.782766677935907e-06,0.373195411838788,nan,nan,nan,44000,5500,True,True,,5.117560345391421e-06,0.04111785406022102
,330.0,isobaric,y,klow128,low,128,1,0.04908738521234052,0.05321634184003732,0.9090909090909092,0.010333405086696558,3.598440690654309e-05,0.0017196251023819343,5.988315457649343e-06,0.4736427591167706,0.2734450712420184,364.5938936478482,1.4050610094791904,22751,2843,True,True,True,6.407497539684797e-06,0.038695831966951116
,330.0,isobaric,y,k1,production,64,1,0.09817477042468103,0.05321634184003732,0.9090909090909092,0.007843181862235446,2.731260849688844e-05,0.003102678112526056,1.0804573203551334e-05,0.880148660726602,0.27496865346033234,366.6253391983005,1.420762077428344,5688,711,True,True,True,1.1560893327799928e-05,0.029370613547128988
,330.0,isobaric,y,kbox,diagnostic_wp13,48,1,0.1308996938995747,0.05321634184003732,0.9090909090909092,0.0054262157829084055,1.889591621122674e-05,0.004534067775396552,1.5789155501293978e-05,1.308678395934399,nan,nan,nan,4000,500,True,True,,1.6894396386384556e-05,0.02031972349774268
,330.0,isobaric,y,k2,production,45,1,0.13962634015954636,0.05321634184003732,0.9090909090909092,0.004703816694517517,1.6380278575086822e-05,0.004984284695163886,1.7356962889197068e-05,1.4442039986992603,0.2771547656763663,369.5401592064824,1.4434431507528,4000,500,True,True,True,1.8571950291440863e-05,0.017614532565719616
,330.0,isobaric,y,k3,production,37,1,0.16981581911296179,0.05321634184003732,0.9090909090909092,0.00648474089545259,2.258205819937183e-05,0.006879604343989267,2.3957106103276953e-05,1.3301072167451906,nan,nan,nan,4000,500,True,True,,2.563410353050634e-05,0.0242836162846945
,360.0,isobaric,y,klow256,low,256,1,0.02454369260617026,0.05805419109822253,0.8333333333333334,0.012016310306982156,4.18448513315726e-05,0.0014879477746689291,5.1815367470984285e-06,0.3660063539288839,nan,nan,nan,44000,5500,True,True,,5.082223959445709e-06,0.04124803913945605
,360.0,isobaric,y,klow128,low,128,1,0.04908738521234052,0.05805419109822253,0.8333333333333334,0.011423436265370453,3.978026365900102e-05,0.0018345811448187374,6.388631227011499e-06,0.4500198465927981,0.28555822862463615,380.7447907711281,1.404610078836093,22751,2843,True,True,True,6.266182461827113e-06,0.03921289764856452
,360.0,isobaric,y,k1,production,64,1,0.09817477042468103,0.05805419109822253,0.8333333333333334,0.009137920143607816,3.1821324526453866e-05,0.003219387766878103,1.1210995641933516e-05,0.7897690308635325,0.2870083016426594,382.6782239294345,1.4189116005842657,5688,711,True,True,True,1.0996118225463124e-05,0.03136747288539532
,360.0,isobaric,y,kbox,diagnostic_wp13,48,1,0.1308996938995747,0.05805419109822253,0.8333333333333334,0.0069113968651639225,2.4067818400814435e-05,0.004652559474211741,1.620178362043185e-05,1.1476256755605576,nan,nan,nan,4000,500,True,True,,1.5891249434373575e-05,0.02372455114087282
,360.0,isobaric,y,k2,production,45,1,0.13962634015954636,0.05805419109822253,0.8333333333333334,0.006246128902465654,2.1751130641961227e-05,0.005103329533247794,1.7771517226106776e-05,1.2605295664700082,0.28909002258439376,385.45385539423955,1.4395694708147277,4000,500,True,True,True,1.7430896479273063e-05,0.021440905141180258
,360.0,isobaric,y,k3,production,37,1,0.16981581911296179,0.05805419109822253,0.8333333333333334,0.007987804248429927,2.781623249584667e-05,0.006999798525175522,2.4375662841091598e-05,1.1469288052196431,nan,nan,nan,4000,500,True,True,,2.3908462636637345e-05,0.02741950347987466
equal_density_diag,270.0,equal_density,y,klow128,low,128,1,0.04908738521234052,0.043540643323666896,1.0,0.00810580131852465,2.8227138150705288e-05,0.0014897119573488006,5.187680227091456e-06,0.49054807904212083,0.24744574671894606,329.92808337368473,1.4062584494707049,22751,2843,True,True,True,6.1058996272866434e-06,0.03338945831139702
equal_density_diag,270.0,equal_density,y,k1,production,64,1,0.09817477042468103,0.043540643323666896,1.0,0.0050772087878562305,1.768055596764587e-05,0.0028692545118564777,9.991713380713424e-06,1.0430573493454867,0.2491485065913937,332.19843276789095,1.4256789426668934,5688,711,True,True,True,1.17602466490997e-05,0.020914064445788784
equal_density_diag,360.0,equal_density,y,klow128,low,128,1,0.04908738521234052,0.05805419109822253,1.0,0.011423436012142938,3.978026277717727e-05,0.0018345811395750553,6.388631208751227e-06,0.5406828174574198,0.2855582286356857,380.74479078586086,1.4046100789447946,22751,2843,True,True,True,7.519418932700195e-06,0.04705547613518134
equal_density_diag,360.0,equal_density,y,k1,production,64,1,0.09817477042468103,0.05805419109822253,1.0,0.009137920112560994,3.182132441833834e-05,0.0032193877655114756,1.1210995637174458e-05,0.9482460286386196,0.2870083016502354,382.6782239395359,1.4189116006591742,5688,711,True,True,True,1.3195341864954338e-05,0.03764096733458615
anisotropy,300.0,isobaric,x,k1_x,anisotropy_diag,64,1,0.09817477042468103,0.04837849258185211,1.0,0.00649546130817781,2.2619390297598295e-05,0.002985967029815826,1.0398145791143492e-05,0.9987808152507935,nan,nan,nan,5688,711,True,True,,1.223861759617589e-05,0.02675613749217456
window_consistency_0.125,300.0,isobaric,y,k1,production,64,1,0.09817477042468103,0.04837849258185211,1.0,0.006495461223439468,2.2619390002510767e-05,0.002985967031295895,1.0398145796297592e-05,0.998780815383756,nan,nan,nan,5688,711,True,True,,1.2238617602242267e-05,0.02675613714311995
window_consistency_0.25,300.0,isobaric,y,k1,production,64,1,0.09817477042468103,0.04837849258185211,1.0,0.006495851020049917,2.2620747405972985e-05,0.0029859670312089794,1.0398145795994922e-05,0.9988636565723996,nan,nan,nan,5688,1422,True,True,,1.2238617601886023e-05,0.026757742795314354
