variant,S_pp_theta0.05,S_pp_theta0.10,sigma_theta0.05,sigma_theta0.10
A2-1,-3.8381654521302266e-07,-6.05122851382589e-07,-4.350726947487719e-08,-3.479918718224626e-08
A2-2,-2.4057270620048143e-07,-5.378495533392424e-07,-2.726995927482929e-08,-3.093045856684428e-08
A2-3,-1.6002269509485245e-07,-8.668561424229893e-08,-1.8139266283384888e-08,-4.985085109797835e-09
A2-4,2.6420372556401617e-07,3.111075503881011e-07,2.994863777433151e-08,1.7891061054841437e-08
A2-5,8.821894710629374,17.388993671717024,1.0000000136558034,0.9999999905975909
A3-1,28.89223828037106,46.046646776451915,-5.223119443403975,-4.445829276146903
A3-2,8.884988454056897,14.995487502158777,-1.6062222489814106,-1.4478226323591046
A3-3,-9.545124352994327,-17.852258675408258,1.7255611736977954,1.7236454730307553
A3-4,-19.031253750654407,-32.42196701323168,3.440457278968601,3.130358891006338
